species.id,genus,species,subspecies,scientific.name,common.name,origin,taxa,vector,first.date,IF.score,unknown,tm.161,status,Scientific Name,IF Score,Source
3830,Anguillicola,crassus,,Anguillicola crassus,Eel swimbladder nematode,Asia,Other,Direct Accidental Release,2010,3,,Redinger 2023 (in review),established,Anguillicola crassus,3,Redinger 2023 (in review)
2651,Cylindrospermopsis,raciborskii,,Cylindrospermopsis raciborskii,Cylindro,Other,Algae,Ballast,1971,3,0,a,established,Cylindrospermopsis raciborskii,3,TM-161
1120,Glyceria,maxima,,Glyceria maxima,Reed mannagrass,Eurasia,Plants,Deliberate Release,1979,3,2,a,established,Glyceria maxima,3,TM-161
2627,Hemimysis,anomala,,Hemimysis anomala,Bloody red shrimp,Eurasia,Crustaceans,Ballast,2006,3,3,c,established,Hemimysis anomala,3,"Boucher 2019 (TM-161c), TM-161"
362,Ictiobus,cyprinellus,,Ictiobus cyprinellus,Bigmouth Buffalo,North America,Fish,Direct Accidental Release,1962,3,,Sturtevant 2023,established,Ictiobus cyprinellus,3,Sturtevant 2023
2691,Juncus,compressus,,Juncus compressus,Roundfruit rush,Eurasia,Plants,Deliberate Release,1895,3,2,a,established,Juncus compressus,3,TM-161
2699,Juncus,inflexus,,Juncus inflexus,European meadow rush,Eurasia,Plants,Deliberate Release,1922,3,1,a,established,Juncus inflexus,3,TM-161
2673,Juncus,gerardii,,Juncus gerardii,Saltmeadow rush,North America,Plants,Ballast,1862,3,2,a,range expander,,,
908,Oncorhynchus,kisutch,,Oncorhynchus kisutch,Coho Salmon,North America,Plants,Deliberate Release,1876,3,2,a,established,Oncorhynchus kisutch,3,TM-161
2658,Piscirickettsia cf.,salmonis,,Piscirickettsia cf. salmonis,Muskie pox,Unknown,Other,Unknown,1899,3,0,a,established,Piscirickettsia cf. salmonis,3,TM-161
1008,Potamopyrgus,antipodarum,,Potamopyrgus antipodarum,New Zealand mudsnail,Eurasia,Mollusks,Ballast,1991,3,4,a,established,Potamopyrgus antipodarum,3,TM-161
2684,Salix,fragilis,,Salix fragilis,Crack willow,Eurasia,Plants,Deliberate Release,1886,3,5,a,established,Salix fragilis,3,TM-161
3604,Stagnicola,palustris,,Stagnicola palustris,Marsh pond snail,Europe,Mollusks,Unknown,,3,0,Bartos 2021,cryptogenic,Stagnicola palustris,3,Bartos 2021 (NP)
1714,Ulva (Enteromorpha),intestinalis,,Ulva (Enteromorpha) intestinalis,"Green alga, grass kelp",North America,Algae,Unknown,1926,3,0,a,established,Ulva (Enteromorpha) intestinalis,3,TM-161
2353,Aeromonas,salmonicida,,Aeromonas salmonicida,"Furunculosis, ulcer disease, erythrodermatitis",Unknown,Algae,Direct Accidental Release,1850,2,0,a,established,Aeromonas salmonicida,2,TM-161
2704,Carex,acutiformis,,Carex acutiformis,Lesser pond sedge,Eurasia,Plants,Hitchhiker,1951,2,2,a,established,Carex acutiformis,2,TM-161
2702,Cirsium,palustre,,Cirsium palustre,Marsh thistle,Eurasia,Plants,Unknown,1882,2,1,a,established,Cirsium palustre,2,TM-161
2711,Cyclops,strenuus,,Cyclops strenuus,A copepod,North America,Plants,Unknown,1972,2,2,a,established,Cyclops strenuus,2,TM-161
